eventid,iyear,imonth,iday,country,country_txt,region,region_txt,latitude,longitude,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,gname,weaptype1,weaptype1_txt,nkill,nkillter,nwound,nwoundte,property,propextent,propextent_txt
201409110031,2014,9,11,228,Yemen,10,Middle East & North Africa,15.672163,43.945709,1,0,3,Bombing/Explosion,14,Private Citizens & Property,Unknown,6,Explosives/Bombs/Dynamite,3,0,4,0,1,3,Minor (likely < $1 million)
201409110032,2014,9,11,228,Yemen,10,Middle East & North Africa,15.685347,43.946264,1,0,3,Bombing/Explosion,8,Educational Institution,Unknown,6,Explosives/Bombs/Dynamite,6,0,4,0,1,3,Minor (likely < $1 million)
201409110033,2014,9,11,228,Yemen,10,Middle East & North Africa,15.662876,43.945765,1,0,3,Bombing/Explosion,17,Terrorists/Non-State Militia,Unknown,6,Explosives/Bombs/Dynamite,4,0,4,0,1,3,Minor (likely < $1 million)
201409110034,2014,9,11,228,Yemen,10,Middle East & North Africa,15.473889,45.366667,1,0,3,Bombing/Explosion,14,Private Citizens & Property,Unknown,6,Explosives/Bombs/Dynamite,0,0,3,0,0,,
201409110042,2014,9,11,160,Philippines,5,Southeast Asia,7.548409,122.338157,1,0,6,Hostage Taking (Kidnapping),14,Private Citizens & Property,Abu Sayyaf Group (ASG),5,Firearms,0,0,0,0,1,3,Minor (likely < $1 million)
201409110043,2014,9,11,153,Pakistan,6,South Asia,34.015369,71.579286,1,0,2,Armed Assault,3,Police,Unknown,5,Firearms,1,1,1,1,-9,,
201409110044,2014,9,11,153,Pakistan,6,South Asia,34.931756,72.414585,0,0,3,Bombing/Explosion,8,Educational Institution,Unknown,6,Explosives/Bombs/Dynamite,0,0,0,0,0,,
201409110046,2014,9,11,92,India,6,South Asia,23.369968,85.325012,1,0,3,Bombing/Explosion,15,Religious Figures/Institutions,Unknown,6,Explosives/Bombs/Dynamite,0,0,0,0,0,,
201409110048,2014,9,11,4,Afghanistan,6,South Asia,,,1,0,3,Bombing/Explosion,4,Military,Unknown,6,Explosives/Bombs/Dynamite,4,0,0,0,0,,
201409110049,2014,9,11,95,Iraq,10,Middle East & North Africa,31.992147,44.91249,1,0,3,Bombing/Explosion,14,Private Citizens & Property,Unknown,6,Explosives/Bombs/Dynamite,0,0,3,0,-9,,
